latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.63748,95.81316,333.33,0.46,0.39,2024-10-01,626,N,VIIRS,n,2,301.38,3.89,D,0
30.73304,96.85082,338.36,0.42,0.38,2024-10-01,626,N,VIIRS,n,2,295.73,4.83,D,0
36.04017,97.82171,338.13,0.38,0.36,2024-10-01,628,N,VIIRS,n,2,295.28,6.7,D,0
36.0444,97.80489,341.64,0.38,0.36,2024-10-01,628,N,VIIRS,n,2,297.89,4.78,D,0
36.08913,97.76399,331.59,0.38,0.36,2024-10-01,628,N,VIIRS,n,2,299.04,2.79,D,0
36.09867,97.84921,334.13,0.38,0.36,2024-10-01,628,N,VIIRS,n,2,297.83,2.33,D,0
36.37913,95.15365,343.9,0.42,0.37,2024-10-01,628,N,VIIRS,n,2,306.71,3.97,D,0
36.37993,95.1582,340.01,0.41,0.37,2024-10-01,628,N,VIIRS,n,2,306.2,1.68,D,0
39.76969,98.74587,332.46,0.41,0.37,2024-10-01,629,N,VIIRS,n,2,299.51,2.41,D,0
39.79198,97.88992,335.65,0.39,0.36,2024-10-01,629,N,VIIRS,n,2,299.19,3.3,D,2
39.80806,98.30411,332.61,0.4,0.37,2024-10-01,629,N,VIIRS,n,2,299.3,0.98,D,2
39.81015,98.29405,333.48,0.4,0.37,2024-10-01,629,N,VIIRS,n,2,300.05,4.76,D,2
8.0039,80.34915,341.18,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.45,7.28,D,0
8.01127,81.0553,333.82,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,300.45,2.45,D,0
8.01347,80.18589,333.36,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,298.75,4.44,D,0
8.0179,80.98357,347.95,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,304.71,20.88,D,0
8.01844,80.9872,335.74,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,300.72,8.06,D,0
8.02225,80.19892,333.96,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,302.54,3.06,D,0
8.02444,80.19773,335.95,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,303.68,5.69,D,0
8.03108,81.04863,340.02,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,302.51,8.81,D,0
8.05485,80.40202,335.03,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.62,5.81,D,0
8.06147,81.08482,341.03,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,304.33,5.05,D,0
8.08027,80.65324,339.18,0.39,0.37,2024-10-01,801,N,VIIRS,n,2,300.68,2.99,D,0
8.08601,79.9058,334.37,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.03,2.34,D,0
8.10836,80.09899,342.81,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.85,6.27,D,0
8.11382,80.04793,332.23,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,295.9,1.76,D,0
8.11958,80.08645,332.93,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.24,1.59,D,0
8.12164,81.32869,335.03,0.41,0.37,2024-10-01,801,N,VIIRS,n,2,297.4,5.08,D,0
8.12781,80.09595,332.79,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,302.33,3.8,D,0
8.13114,80.09544,334.93,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,303.0,5.75,D,0
8.1329,80.30729,336.89,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.36,4.33,D,0
8.14865,80.0534,343.31,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.84,9.47,D,0
8.16309,80.44002,330.78,0.39,0.36,2024-10-01,801,N,VIIRS,l,2,304.44,3.39,D,0
8.19248,80.39214,337.06,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.76,3.55,D,0
8.25701,80.32101,335.07,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,302.78,3.42,D,0
8.25892,80.31995,331.89,0.39,0.36,2024-10-01,801,N,VIIRS,l,2,302.74,3.99,D,0
8.26011,80.43273,330.9,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.33,2.5,D,0
8.26017,80.50169,340.4,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,302.89,6.12,D,0
8.26209,80.46871,349.32,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,303.01,13.48,D,0
8.26634,80.49712,330.04,0.39,0.36,2024-10-01,801,N,VIIRS,l,2,301.67,4.14,D,0
8.28319,80.2766,330.67,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,298.54,2.69,D,0
8.28381,80.63674,337.86,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,300.67,4.02,D,0
8.28846,80.31189,332.51,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.01,3.29,D,0
8.29021,80.16392,345.3,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.13,6.57,D,0
8.29303,80.29676,330.46,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.33,3.34,D,0
8.29655,80.27458,332.33,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.25,2.19,D,0
8.29838,80.58636,332.01,0.39,0.37,2024-10-01,801,N,VIIRS,n,2,301.42,2.96,D,0
8.31165,80.26149,336.22,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.8,3.97,D,0
8.31216,80.60989,338.08,0.39,0.37,2024-10-01,801,N,VIIRS,n,2,302.95,4.09,D,0
8.31925,80.49574,331.44,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.36,2.63,D,0
8.3348,81.02512,335.96,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,301.89,2.44,D,0
8.34094,80.20663,330.53,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.2,2.22,D,0
8.34147,80.21015,330.92,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.89,2.22,D,0
8.34169,80.25697,335.22,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.2,4.38,D,0
8.34428,80.20612,331.19,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.65,5.53,D,0
8.35538,80.23992,333.02,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,300.43,3.61,D,0
8.36474,80.45621,332.37,0.39,0.36,2024-10-01,801,N,VIIRS,l,2,302.96,4.06,D,0
8.37548,81.27581,337.73,0.41,0.37,2024-10-01,801,N,VIIRS,n,2,300.25,4.08,D,0
8.38436,80.15992,337.04,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.04,2.58,D,0
8.39589,80.44375,330.65,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,295.72,2.19,D,0
8.39924,80.44325,337.2,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.37,5.31,D,0
8.39996,80.78421,339.36,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,303.05,5.46,D,0
8.4255,80.57417,335.16,0.39,0.37,2024-10-01,801,N,VIIRS,n,2,303.54,5.18,D,0
8.43362,80.60587,336.87,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,299.93,2.56,D,0
8.46161,80.37943,340.14,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,302.98,5.86,D,0
8.49402,80.23994,337.12,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,299.95,3.94,D,0
8.50079,80.4929,343.17,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,307.18,5.16,D,0
8.50414,80.49239,338.37,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,304.29,5.16,D,0
8.55574,80.74891,345.43,0.4,0.37,2024-10-01,801,N,VIIRS,n,2,300.48,6.5,D,0
8.55801,80.53175,337.42,0.39,0.37,2024-10-01,801,N,VIIRS,n,2,304.84,5.38,D,0
8.60823,80.37135,338.2,0.39,0.36,2024-10-01,801,N,VIIRS,n,2,301.02,4.75,D,0
8.66549,81.04612,331.47,0.41,0.37,2024-10-01,801,N,VIIRS,n,2,301.24,5.14,D,0
8.86583,80.98625,336.02,0.41,0.37,2024-10-01,802,N,VIIRS,n,2,298.61,2.42,D,0
8.87766,78.11146,331.94,0.39,0.37,2024-10-01,802,N,VIIRS,n,2,300.87,1.36,D,0
8.88319,80.55912,333.87,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,298.65,3.28,D,0
8.94375,80.82805,340.13,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,298.55,6.1,D,0
8.94986,80.84583,336.38,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,298.67,4.06,D,0
9.01126,80.50988,338.83,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,299.18,8.27,D,0
9.01195,80.4914,332.98,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,294.77,2.28,D,0
9.02091,80.57465,330.29,0.4,0.37,2024-10-01,802,N,VIIRS,l,2,302.41,2.47,D,0
9.06225,80.49445,348.32,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,300.17,5.96,D,0
9.19817,77.99376,334.21,0.4,0.37,2024-10-01,802,N,VIIRS,n,2,298.54,4.51,D,0
9.96143,77.88541,332.35,0.39,0.37,2024-10-01,802,N,VIIRS,n,2,295.66,4.15,D,0
10.01371,79.1936,346.99,0.38,0.36,2024-10-01,802,N,VIIRS,n,2,302.7,3.37,D,0
10.15653,78.59763,330.69,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,297.87,1.05,D,0
10.27761,78.83956,335.96,0.38,0.36,2024-10-01,802,N,VIIRS,n,2,302.77,5.66,D,0
10.78735,78.83273,334.89,0.38,0.36,2024-10-01,802,N,VIIRS,n,2,301.23,3.04,D,0
10.90878,79.59444,332.59,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,291.13,1.78,D,0
11.08349,79.18067,331.49,0.39,0.36,2024-10-01,802,N,VIIRS,l,2,302.43,2.63,D,0
11.32946,79.33258,337.04,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,300.97,3.71,D,0
11.33279,79.33207,339.02,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,301.73,3.71,D,0
11.3779,79.32138,332.74,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,298.41,2.22,D,0
11.43013,79.37486,332.03,0.39,0.36,2024-10-01,802,N,VIIRS,l,2,305.3,6.54,D,0
11.56706,78.7795,334.5,0.38,0.36,2024-10-01,802,N,VIIRS,n,2,298.81,1.16,D,0
11.74115,78.14642,335.53,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,302.7,3.41,D,0
11.80826,77.92505,338.26,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,300.35,1.92,D,2
11.93934,79.27605,333.42,0.39,0.36,2024-10-01,802,N,VIIRS,n,2,299.42,1.59,D,0
11.97925,76.91979,335.56,0.41,0.37,2024-10-01,803,N,VIIRS,n,2,300.13,7.97,D,0
12.15971,76.64848,334.84,0.41,0.37,2024-10-01,803,N,VIIRS,n,2,300.12,6.75,D,0
12.20097,79.1757,332.15,0.39,0.36,2024-10-01,803,N,VIIRS,n,2,300.69,1.94,D,0
12.30245,78.41203,335.1,0.38,0.36,2024-10-01,803,N,VIIRS,n,2,300.47,4.55,D,0
12.35654,78.92345,331.62,0.39,0.36,2024-10-01,803,N,VIIRS,l,2,302.26,1.59,D,0
12.49095,76.31372,334.08,0.42,0.38,2024-10-01,803,N,VIIRS,n,2,299.06,3.76,D,0
12.61352,79.67998,336.48,0.4,0.37,2024-10-01,803,N,VIIRS,n,2,298.38,2.36,D,0
12.6498,76.3933,338.37,0.42,0.37,2024-10-01,803,N,VIIRS,n,2,297.06,4.22,D,0
12.65191,79.87214,332.61,0.4,0.37,2024-10-01,803,N,VIIRS,n,2,300.09,2.96,D,0
12.82574,79.0991,340.29,0.39,0.36,2024-10-01,803,N,VIIRS,n,2,303.39,5.09,D,0
12.84952,79.72205,334.24,0.4,0.37,2024-10-01,803,N,VIIRS,n,2,298.71,1.82,D,0
