city,pm25,date,latitude,longitude,source
Delhi,204.99,2024-10-01T00:00:00Z,28.6139,77.209,synthetic
Delhi,149.49,2024-10-02T00:00:00Z,28.6139,77.209,synthetic
Delhi,112.42,2024-10-03T00:00:00Z,28.6139,77.209,synthetic
Delhi,115.29,2024-10-04T00:00:00Z,28.6139,77.209,synthetic
Delhi,132.68,2024-10-05T00:00:00Z,28.6139,77.209,synthetic
Delhi,79.79,2024-10-06T00:00:00Z,28.6139,77.209,synthetic
Delhi,90.73,2024-10-07T00:00:00Z,28.6139,77.209,synthetic
Delhi,181.75,2024-10-08T00:00:00Z,28.6139,77.209,synthetic
Delhi,147.98,2024-10-09T00:00:00Z,28.6139,77.209,synthetic
Delhi,139.12,2024-10-10T00:00:00Z,28.6139,77.209,synthetic
Delhi,169.33,2024-10-11T00:00:00Z,28.6139,77.209,synthetic
Delhi,142.51,2024-10-12T00:00:00Z,28.6139,77.209,synthetic
Delhi,133.68,2024-10-13T00:00:00Z,28.6139,77.209,synthetic
Delhi,147.76,2024-10-14T00:00:00Z,28.6139,77.209,synthetic
Delhi,241.42,2024-10-15T00:00:00Z,28.6139,77.209,synthetic
Delhi,103.7,2024-10-16T00:00:00Z,28.6139,77.209,synthetic
Delhi,160.83,2024-10-17T00:00:00Z,28.6139,77.209,synthetic
Delhi,234.89,2024-10-18T00:00:00Z,28.6139,77.209,synthetic
Delhi,133.28,2024-10-19T00:00:00Z,28.6139,77.209,synthetic
Delhi,124.78,2024-10-20T00:00:00Z,28.6139,77.209,synthetic
Delhi,151.73,2024-10-21T00:00:00Z,28.6139,77.209,synthetic
Delhi,140.86,2024-10-22T00:00:00Z,28.6139,77.209,synthetic
Delhi,191.84,2024-10-23T00:00:00Z,28.6139,77.209,synthetic
Delhi,171.16,2024-10-24T00:00:00Z,28.6139,77.209,synthetic
Delhi,128.51,2024-10-25T00:00:00Z,28.6139,77.209,synthetic
Delhi,239.77,2024-10-26T00:00:00Z,28.6139,77.209,synthetic
Delhi,117.24,2024-10-27T00:00:00Z,28.6139,77.209,synthetic
Delhi,142.62,2024-10-28T00:00:00Z,28.6139,77.209,synthetic
Delhi,182.87,2024-10-29T00:00:00Z,28.6139,77.209,synthetic
Delhi,126.22,2024-10-30T00:00:00Z,28.6139,77.209,synthetic
Delhi,99.0,2024-10-31T00:00:00Z,28.6139,77.209,synthetic
Delhi,138.56,2024-11-01T00:00:00Z,28.6139,77.209,synthetic
Delhi,149.45,2024-11-02T00:00:00Z,28.6139,77.209,synthetic
Delhi,179.56,2024-11-03T00:00:00Z,28.6139,77.209,synthetic
Delhi,206.15,2024-11-04T00:00:00Z,28.6139,77.209,synthetic
Delhi,117.96,2024-11-05T00:00:00Z,28.6139,77.209,synthetic
Mumbai,62.4,2024-10-01T00:00:00Z,19.076,72.8777,synthetic
Mumbai,77.78,2024-10-02T00:00:00Z,19.076,72.8777,synthetic
Mumbai,35.96,2024-10-03T00:00:00Z,19.076,72.8777,synthetic
Mumbai,35.11,2024-10-04T00:00:00Z,19.076,72.8777,synthetic
Mumbai,34.2,2024-10-05T00:00:00Z,19.076,72.8777,synthetic
Mumbai,40.29,2024-10-06T00:00:00Z,19.076,72.8777,synthetic
Mumbai,51.11,2024-10-07T00:00:00Z,19.076,72.8777,synthetic
Mumbai,43.92,2024-10-08T00:00:00Z,19.076,72.8777,synthetic
Mumbai,60.46,2024-10-09T00:00:00Z,19.076,72.8777,synthetic
Mumbai,56.82,2024-10-10T00:00:00Z,19.076,72.8777,synthetic
Mumbai,52.49,2024-10-11T00:00:00Z,19.076,72.8777,synthetic
Mumbai,63.4,2024-10-12T00:00:00Z,19.076,72.8777,synthetic
Mumbai,65.61,2024-10-13T00:00:00Z,19.076,72.8777,synthetic
Mumbai,70.28,2024-10-14T00:00:00Z,19.076,72.8777,synthetic
Mumbai,42.51,2024-10-15T00:00:00Z,19.076,72.8777,synthetic
Mumbai,57.49,2024-10-16T00:00:00Z,19.076,72.8777,synthetic
Mumbai,38.72,2024-10-17T00:00:00Z,19.076,72.8777,synthetic
Mumbai,41.43,2024-10-18T00:00:00Z,19.076,72.8777,synthetic
Mumbai,57.66,2024-10-19T00:00:00Z,19.076,72.8777,synthetic
Mumbai,48.19,2024-10-20T00:00:00Z,19.076,72.8777,synthetic
Mumbai,49.21,2024-10-21T00:00:00Z,19.076,72.8777,synthetic
