city,pm25,date,latitude,longitude
Bengaluru,187.78129084705023,2024-01-01,29.48970164188047,70.19244686081045
Chennai,121.72397304605761,2024-01-02,10.1625300799602,86.67029793851738
Kolkata,145.3971482978406,2024-01-03,10.137701832957758,97.43533510286883
Chennai,186.04988861191322,2024-01-04,8.363254257046624,73.70322949351183
Chennai,147.30295417641173,2024-01-05,36.695041948984404,91.7778534886515
Mumbai,47.45702772456704,2024-01-06,30.12525078377021,95.23696381338858
Kolkata,123.73190483002637,2024-01-07,18.597542255061924,96.31104778460663
Kolkata,129.20870834891406,2024-01-08,16.896067438629657,96.80406813216342
Kolkata,96.34352083442948,2024-01-09,18.491096892375488,83.64378916164415
Chennai,152.55996241245012,2024-01-10,31.239605935435456,97.3192372397451
Bengaluru,188.18606265842268,2024-01-11,27.841118332112433,90.71930621403317
Kolkata,186.60233232321974,2024-01-12,13.555867036024038,72.85014308710886
Chennai,101.15108685274377,2024-01-13,13.22328006002253,82.3070031940391
Mumbai,40.38284825133594,2024-01-14,10.951869491401919,89.54993526116012
Bengaluru,197.27141581322022,2024-01-15,27.809081591040144,75.4202094745725
Mumbai,171.00165556026815,2024-01-16,30.93117986665208,87.21845550646663
Bengaluru,42.43928261658803,2024-01-17,15.951392849750121,87.99801437139857
Chennai,185.75153887112702,2024-01-18,8.628348830927385,72.88099231425697
Delhi,176.5813451711831,2024-01-19,10.465150024292821,84.95255937358269
Bengaluru,113.39085028269298,2024-01-20,37.035801045350915,91.14880732935823
Mumbai,126.42957843408726,2024-01-21,16.863343324322607,82.96686993607825
Chennai,91.82048669662345,2024-01-22,31.07669443514401,68.36309350328322
Bengaluru,29.857094987965638,2024-01-23,26.739907065627914,68.27115407237876
Delhi,80.33550349626216,2024-01-24,19.458189189586875,78.71088031910037
Delhi,164.51362074764205,2024-01-25,14.170617865866653,95.78582205295346
Kolkata,20.833764140828514,2024-01-26,11.641592544782192,74.86030338810826
Kolkata,80.02985090440595,2024-01-27,26.450389041165998,87.03091066615062
Mumbai,91.6703648463698,2024-01-28,31.239013419133638,74.66227612079962
Bengaluru,116.73120852882612,2024-01-29,27.31712760623392,77.65009968978646
Bengaluru,185.57401095429688,2024-01-30,23.90906399747475,93.44126268804452
Kolkata,82.34227898587302,2024-01-31,9.258536702949089,89.8658432680984
Bengaluru,82.45157634132099,2024-02-01,37.05466332783151,70.86197831939631
Bengaluru,152.7502246597547,2024-02-02,31.961425749637236,80.86106062959301
Delhi,101.3992293601653,2024-02-03,16.78466110102894,68.87509290935793
Kolkata,60.42886812919675,2024-02-04,37.39910988076552,82.42670439809027
Chennai,101.4391129038848,2024-02-05,26.056447689089662,87.87302035103204
Kolkata,45.35426366836397,2024-02-06,25.472679746217395,71.55507870794455
Chennai,51.749657571120196,2024-02-07,30.442195382885963,76.66654816727497
Delhi,109.70619909310635,2024-02-08,32.353093642704124,79.93509876506471
Mumbai,95.40658091081862,2024-02-09,27.69435821994508,95.58593073968149
Bengaluru,184.67226219225802,2024-02-10,11.842872390986,97.79765046268892
Delhi,85.23090184099397,2024-02-11,18.148025179834953,69.34733896986847
Bengaluru,124.50590305004782,2024-02-12,35.8425092097815,90.83023770486176
Mumbai,133.80757182551548,2024-02-13,14.738468355315558,79.15172199207029
Mumbai,22.357002185900054,2024-02-14,19.165010715125398,79.7737455868844
Delhi,139.4367269630079,2024-02-15,20.96230648832588,90.62794920041068
Mumbai,52.04647403655526,2024-02-16,21.182149690833565,95.55279296436225
Chennai,192.99265714450192,2024-02-17,26.388187474835764,96.52785783507645
Mumbai,46.759290995560335,2024-02-18,36.29227513234123,85.31367758114962
Bengaluru,94.63234227086427,2024-02-19,15.220781354975149,78.71363477901508
Bengaluru,35.362940254155895,2024-02-20,11.645041289027542,91.62647257576337
Bengaluru,199.43736533227053,2024-02-21,13.924114695798119,75.53004149786901
Bengaluru,110.39510185962367,2024-02-22,34.60774700627809,84.92222086500553
Chennai,127.16930311760788,2024-02-23,27.37432437965618,78.7573538457462
Kolkata,32.073765929916945,2024-02-24,16.577203677174804,87.69893221123628
Delhi,154.992884671852,2024-02-25,32.47840816905852,75.21196738680521
Bengaluru,57.783006757205435,2024-02-26,33.84109989090308,73.74778837204477
Mumbai,181.6497720993285,2024-02-27,33.395430160708344,95.54717260026311
Bengaluru,56.92513528676129,2024-02-28,35.56779600918664,71.0541104884861
Mumbai,54.32378971945998,2024-02-29,15.567230605200848,83.17873723204795
Mumbai,26.57894021265708,2024-03-01,30.65125786238835,74.62558348889027
Bengaluru,104.97205011979986,2024-03-02,21.816184918224202,69.16789889977002
Chennai,121.67140398727096,2024-03-03,33.25995658670185,69.08056454874279
Mumbai,31.827555097103428,2024-03-04,29.854720314848397,73.25665316317482
Mumbai,159.5949710051019,2024-03-05,31.293423394991738,94.00311063518001
Bengaluru,101.59199025464497,2024-03-06,27.684855130432144,76.4743623193108
Mumbai,114.39024847896441,2024-03-07,13.322863084091207,96.51377511725887
Mumbai,99.33729444888107,2024-03-08,24.35080756690815,85.4486687896758
Bengaluru,92.13735095755868,2024-03-09,37.54009218573525,81.09842569306298
Bengaluru,120.73525963547922,2024-03-10,36.12164199491357,85.40266504008363
Delhi,47.94324426752825,2024-03-11,9.29521207391035,83.50095155678804
Chennai,52.7470634891488,2024-03-12,12.944444471883113,90.76328761271975
Chennai,175.1214117824331,2024-03-13,11.951863203636858,76.47488197918557
Mumbai,190.3007831840539,2024-03-14,29.779397299558866,78.59151174800907
Chennai,87.19567693035553,2024-03-15,32.53355989570835,94.82282907599752
Mumbai,68.73404116583967,2024-03-16,14.405340989320157,96.39369539451216
Delhi,135.91991778302284,2024-03-17,23.175580788554868,94.77674682459423
Bengaluru,93.57215079765736,2024-03-18,33.221090840336004,80.58343981871941
Bengaluru,24.569544018862075,2024-03-19,29.98404634298752,91.41096509020645
Bengaluru,48.10746752591427,2024-03-20,24.26711616475545,82.29007199903296
Chennai,148.87500119253156,2024-03-21,25.710430713763188,82.92619556438306
Delhi,138.60630954382725,2024-03-22,23.2508164074884,74.14040327171853
Chennai,24.877278650627026,2024-03-23,16.92645353956462,85.73390909775549
Chennai,59.9549891479309,2024-03-24,24.950659785770483,73.58407693260044
Delhi,61.59346338585285,2024-03-25,28.66655906150272,77.94694097201581
Delhi,140.94069384777112,2024-03-26,34.199687475824234,93.65090604859805
Delhi,23.547896795785547,2024-03-27,27.088740619377443,74.21227427632566
Delhi,38.73954475722329,2024-03-28,30.83364611129474,70.13474855520299
Bengaluru,163.9848953671741,2024-03-29,12.80214904863719,70.07022777838449
Kolkata,52.13803916978005,2024-03-30,21.846724232593697,96.22353561509324
